model,effect_type,index,mean,lo95,hi95,truth
GP-CP-Extended,beta,10,0.4597341554367116,0.38256438558500205,0.5369039252884211,0.44382745234548054
GP-CP-Extended,beta,11,0.15724406078612607,0.08128278556445433,0.2332053360077978,0.14248617908867336
GP-CP-Extended,beta,12,-0.1830458065703252,-0.2598067703335677,-0.10628484280708272,-0.19445914467626646
GP-CP-Extended,beta,13,-0.41666699260615053,-0.4940477402738119,-0.3392862449384892,-0.4412513867594149
GP-CP-Extended,beta,14,-0.4764705321818407,-0.5522902905075456,-0.4006507738561358,-0.5250080049376931
GP-CP-Extended,beta,15,-0.40314710420530475,-0.4801484736268232,-0.3261457347837863,-0.4584201031682338
GP-CP-Extended,beta,16,-0.2846983680030094,-0.3607053986986574,-0.2086913373073614,-0.3175394477581256
GP-CP-Extended,beta,17,-0.1805992966408037,-0.25644627829417277,-0.10475231498743462,-0.18276947363173493
GP-CP-Extended,beta,18,-0.0973035789686673,-0.17309629815972483,-0.021510859777609775,-0.08566705293551292
GP-CP-Extended,beta,19,-0.009207018147850438,-0.08490979845846913,0.06649576216276826,0.0015772015199074802
GP-CP-Extended,beta,20,0.11058558465830298,0.03493170736609914,0.18623946195050683,0.1287305880353711
GP-CP-Extended,beta,21,0.26576876629718815,0.19010611236504382,0.3414314202293325,0.31185169381553585
GP-CP-Extended,beta,22,0.42258717295418435,0.34686985896424816,0.49830448694412055,0.5024235706960724
GP-CP-Extended,beta,23,0.5161364167949086,0.4404354665081404,0.5918373670816768,0.6066659979532112
GP-CP-Extended,beta,24,0.4826297511527968,0.4068702372371974,0.5583892650683963,0.5441623561035577
GP-CP-Extended,beta,25,0.3014451161078687,0.22572870617255034,0.3771615260431871,0.3058453022729989
GP-CP-Extended,beta,26,0.01781770932273785,-0.05784227192484412,0.09347769057031982,-0.02978578945587622
GP-CP-Extended,beta,27,-0.2717921995306538,-0.3474579239400324,-0.1961264751212752,-0.33546777084838086
GP-CP-Extended,beta,28,-0.46491029843605575,-0.5407772632565694,-0.3890433336155421,-0.5046933635206385
GP-CP-Extended,beta,29,-0.5032621131709037,-0.5792765861724918,-0.42724764016931566,-0.5066611938680771
GP-CP-Extended,beta,30,-0.4005553493405982,-0.4764072654398197,-0.32470343324137674,-0.3916318599516645
GP-CP-Extended,beta,31,-0.23157280510473055,-0.3073469441820163,-0.1557986660274448,-0.2459378432066193
GP-CP-Extended,beta,32,-0.0827044532795066,-0.1595771790810271,-0.005831727477986104,-0.13013856989783867
GP-CP-Extended,beta,33,0.010549989512571578,-0.06571564913421932,0.08681562815936247,-0.04411141104698911
GP-CP-Extended,beta,34,0.0879500721915244,0.011937064733299335,0.16396307964974946,0.05774500319059439
GP-CP-Extended,beta,35,0.21615562097308705,0.13832088573023818,0.29399035621593594,0.2147106203542253
GP-CP-Extended,beta,36,0.40371167207096903,0.32757117709763206,0.479852167044306,0.41150676911199924
GP-CP-Extended,beta,37,0.5661293150048957,0.4898417703295588,0.6424168596802327,0.5714345701287801
GP-CP-Extended,beta,38,0.5846963858108467,0.5072244144792004,0.662168357142493,0.5989875343568406
GP-CP-Extended,beta,39,0.40626693183581375,0.33030622596816495,0.48222763770346255,0.44400925768149335
GP-CP-Extended,beta,40,0.09126419787369783,0.015147390532498264,0.1673810052148974,0.14274280508523807
GP-CP-Extended,beta,41,-0.2280815811800049,-0.30474504541258135,-0.15141811694742846,-0.1942257456941151
GP-CP-Extended,beta,42,-0.4357450499789756,-0.5116030937986703,-0.359887006159281,-0.44112315881460906
GP-CP-Extended,beta,43,-0.49365787126872107,-0.5696519340194292,-0.41766380851801305,-0.5250082785481198
GP-CP-Extended,beta,44,-0.4392086026989027,-0.5153245027599882,-0.3630927026378172,-0.4585095446375809
GP-CP-Extended,beta,45,-0.33639362760246777,-0.41203190540759743,-0.2607553497973381,-0.3176510317953902
GP-CP-Extended,beta,46,-0.22867832648908074,-0.3044211857987648,-0.15293546717939666,-0.18285647957462517
GP-CP-Extended,beta,47,-0.1252475647174847,-0.20093729287302176,-0.04955783656194761,-0.08573010295306974
GP-CP-Extended,beta,48,-0.013918495249277796,-0.08955570275230491,0.06171871225374932,0.0015020372039852726
GP-CP-Extended,beta,49,0.12054685386781872,0.04482491323577455,0.1962687944998629,0.1286121132543637
GP-CP-Extended,beta,50,0.28005636068027373,0.20440371474247776,0.3557090066180697,0.31170114957134754
GP-CP-Extended,beta,51,0.43943021313925745,0.3636038302957927,0.5152565959827222,0.5023000732145124
GP-CP-Extended,beta,52,0.5443245550698105,0.4681971617287087,0.6204519484109123,0.6066435463958751
GP-CP-Extended,beta,53,0.528891901469397,0.45285927781832086,0.6049245251204732,0.5442800684934543
GP-CP-Extended,beta,54,0.3503868600988864,0.27356408890711403,0.4272096312906588,0.30607552567606605
GP-CP-Extended,beta,55,0.029769521019388817,-0.04763564914635428,0.10717469118513191,-0.029528210450462097
GP-CP-Extended,beta,56,-0.3278570652172031,-0.40469166398847695,-0.25102246644592924,-0.3352797121048066
GP-CP-Extended,beta,57,-0.5700060813739796,-0.652032725105019,-0.48797943764294016,-0.5046307734841308
GP-CP-Extended,beta,58,-0.5889518249532734,-0.6700565012964844,-0.5078471486100623,-0.5067138106349749
GP-CP-Extended,beta,59,-0.3980527067285737,-0.5093622626396911,-0.2867431508174562,-0.3917405031695168
